"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","72327","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","61668","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","92253","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","105314","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","108065","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590627669","2.5.1.1","111376","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","37107","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","59014","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","54382","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","53667","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","42886","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","38083","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","48912","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","48229","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","48763","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590628011","2.6.1.1","50239","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net temporary emigration","Total - gender","All ages","Persons","249","units","0","v1590628353","2.7.1.1","24927","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","383","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","399","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","130","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590628695","2.8.1.1","-548","","","","0"
