"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1072882","","","","0"
"2017","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1098582","","","","0"
"2018","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1123368","","","","0"
"2019","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1148411","","","","0"
"2020","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1172078","","","","0"
"2021","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1184369","","","","0"
"2022","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1209897","","","","0"
"2023","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1246173","","","","0"
"2024","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1291272","","","","0"
"2025","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1325788","","","","0"
"2015","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","331322","","","","0"
"2016","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","334884","","","","0"
"2017","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","338542","","","","0"
"2018","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","342985","","","","0"
"2019","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","348380","","","","0"
"2020","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","352896","","","","0"
"2021","Ottawa - Gatineau (CMA), Quebec part, Quebec","2021S050524505","Total - gender","All ages","Persons","249","units","0","v1589880792","17.1.1","355971","","","","0"
